case,nu_prev,s,alpha,closed_form,independent_argmin,abs_error,objective_gap
105,2.0347341831969636,-1.6318079131266838,6.6219183254600695,-1.079162217995139,-1.079162217995139,0.0,0.0
106,-1.3710210700208183,5.632628682505068,33.6201747357721,5.521933900376833,5.521933901264757,8.879235124936713e-10,8.881784197001252e-16
107,1.8147527705684166,4.515869929255723,101.079585381003,4.514368007929018,4.514368007978249,4.923172980397794e-11,8.881784197001252e-16
108,4.567772255647203,-1.016489916518207,0.02636000000714679,3.3133538385491517,3.3133538385671497,1.7998047496803338e-11,0.0
109,6.8509791022562805,-0.44102429802098797,0.7048254424738287,0.7222573473351765,0.7222573473452488,1.0072276346306808e-11,0.0
110,7.948553981208791,-0.4290252868406377,0.06664955441110526,2.745505059369666,2.7455050549918116,4.3778545233408295e-09,0.0
111,-0.9720441900606875,-3.7234188422090746,0.010762497996928012,-0.9758475785595512,-0.975847576994537,1.5650142293210934e-09,2.8199664825478976e-14
112,3.461094452804492,-3.2026728307403918,2.558755120190691,-0.8527560239058638,-0.8527560238856933,2.0170531911389844e-11,0.0
113,6.667700032311391,-4.013520040212635,0.3615590270300355,1.0203319249019156,1.0203319249197769,1.786126802016952e-11,0.0
114,4.631977173014183,0.3617337790222521,0.3032648423877951,1.523017365458275,1.5230173654763608,1.8085755115748725e-11,0.0
115,-1.1651330350262352,0.8270106008434475,0.017894243811760583,-1.1305985406274017,-1.1305985371571696,3.470232101676629e-09,6.217248937900877e-15
116,1.9029739217578392,-7.916048065758687,95.15787407530513,-4.522974779745386,-4.522974778679492,1.0658940396979233e-09,8.881784197001252e-16
117,-3.1291588444547003,-2.7492655636651975,56.85884081737085,-2.8442571613766323,-2.8442571632460796,1.8694472636582304e-09,0.0
118,-3.7075205822825392,3.5352677409539233,0.014147964690598555,-3.3122276330479803,-3.312227631143911,1.904069346636561e-09,2.2737367544323206e-13
119,5.781973808839208,6.627767254026178,0.013324613527079152,6.514329853478966,6.514329853776839,2.978728375069295e-10,0.0
120,6.26633868653521,7.2238028606054225,5.10620863333907,7.223573758430202,7.223573759152643,7.224407738704031e-10,1.7763568394002505e-15
