mu,sigma,T,c0,c1,m,kappa,kappa_gaussian_limit,var_z,nu_star,nu0,alpha_spmd,alpha_spmd_ideal,alpha_spmd_cap,spmd_precondition_holds,alpha_sgd,sgd_precondition_holds,spmd_avg_gap,sgd_avg_gap,spmd_bound,sgd_bound,empirical_ratio,predicted_bound_ratio,nu_spmd_min,nu_spmd_max,nu_star_minus_c0,seed
0.0,0.5,16000,-3.0,3.0,1.1331484337392264,1.2840250949538694,1.2840254166877414,0.3646954284570276,0.12499998294345276,3.0,0.002186900644326675,0.002186900644326675,0.049787068367863944,True,0.0013249950537804092,True,0.012159650493105297,0.12636281302948668,0.07895054382816966,0.38988943177995666,0.09622807692851734,0.015282411865097264,0.037908112549280906,2.9667143554413427,3.1249999829434527,260205809
0.0,1.0,16000,-6.0,6.0,1.6487208013426895,2.7181972900921934,2.718281828459045,4.67054181214738,0.4999997153202826,6.0,0.0005005049818179171,0.0005005049818179171,0.0024787521766663585,True,3.5264456855127195e-05,True,0.047309829937595686,4.224752349450064,0.29519312669051423,53.61276946599076,0.011198249275783941,0.0002733526442106044,0.392093098121157,5.825291497506333,6.499999715320283,260205810
0.0,1.5,16000,-9.0,9.0,3.080206389425715,9.47499272748022,9.487735836358526,80.40794612808708,1.1249966042942467,9.0,8.793821380035135e-05,8.793821380035135e-05,0.00019120212389867064,True,6.058651036774763e-07,True,0.1480665216110524,6.870539993205874,0.920275286480194,6397.430519800812,0.021550929294854863,5.087671894210314e-06,1.0212418561624808,8.46932527038331,10.124996604294246,260205811
0.0,2.0,43002,-12.0,12.0,7.38882209292746,53.35941467481236,54.598150033144236,2858.5461133317554,1.9999683302297973,12.0,6.428445142324882e-06,6.428445142324882e-06,6.568446812268896e-06,True,3.9186426956457755e-09,True,0.3133439080108395,8.999992819226556,1.957580747956557,593442.2053459915,0.03481601755741931,8.315524203366172e-08,2.0744140321978706,11.284559988064427,13.999968330229798,260205812
1.0,0.25,16000,-0.5,2.5,2.80456934868109,1.0644944464972315,1.0644944589178593,0.5072881137530709,1.0312499973057765,2.5,0.0018231580602690088,0.0018231580602690088,0.0820849986238988,True,0.006991949888722533,True,0.003066863157153099,0.005672164135591474,0.021149046872601707,0.01928312742463408,0.5406866028275286,0.14724436903206453,0.9712882875847096,2.487828177142435,1.5312499973057765,260206785
1.0,0.5,16000,-2.0,4.0,3.080216796380167,1.2840250949538696,1.2840254166877414,2.6947549798925277,1.1249999829434527,4.0,0.0008045157869323643,0.0008045157869323643,0.01831563888873418,True,0.0013249950537804088,True,0.01215287774753232,0.12634281400306643,0.07895054382816968,0.38988943177995683,0.09618970293979173,0.015282411865097264,1.040418571580182,3.9657818421075524,3.1249999829434527,260206786
1.0,1.0,16000,-5.0,7.0,4.481687794492268,2.7181972900921925,2.718281828459045,34.51089546235819,1.4999997153202826,7.0,0.0001841254930146983,0.0001841254930146983,0.0009118819655545162,True,3.5264456855127195e-05,True,0.04723062626148759,4.224753346399652,0.2951931266905141,53.61276946599075,0.011179499106554395,0.0002733526442106044,1.3979800321565088,6.820559481330338,6.499999715320283,260206787
1.0,1.5,16000,-8.0,10.0,8.372869056279367,9.474992727480217,9.487735836358526,594.1388247402289,2.124996604294247,10.0,3.235066095048807e-05,3.235066095048807e-05,7.033933049063584e-05,True,6.058651036774764e-07,True,0.147859813419435,6.870539996437346,0.9202752864801936,6397.4305198008105,0.021520843120934646,5.087671894210314e-06,2.028076533646396,9.467738528495017,10.124996604294246,260206788
1.0,2.0,43002,-11.0,13.0,20.084900828921445,53.35941467481236,54.598150033144236,21121.957592788513,2.9999683302297973,13.0,2.3648928065597507e-06,2.3648928065597507e-06,2.416396542661824e-06,True,3.9186426956457755e-09,True,0.31272682468643453,8.99999281921742,1.957580747956557,593442.2053459915,0.034747452688926386,8.315524203366172e-08,3.0643757046184663,12.286584031199762,13.999968330229798,260206789
5.0,0.25,16000,3.5,6.5,153.12429807764778,1.0644944464972315,1.0644944589178593,1512.2045544235516,5.0312499973057765,6.5,3.3392304668972215e-05,3.3392304668972215e-05,0.0015034391929775724,True,0.006991949888722528,True,0.0030715927994985764,0.005673775082185926,0.021149046872601707,0.01928312742463408,0.5413666835582754,0.14724436903206453,4.959880397093082,6.487913180389241,1.5312499973057765,260207762
5.0,0.5,16000,2.0,8.0,168.17413878337527,1.2840250949538696,1.2840254166877414,8032.951380431103,5.124999982943453,8.0,1.4735220633738993e-05,1.4735220633738993e-05,0.00033546262790251185,True,0.0013249950537804088,True,0.012152853906519908,0.12636536515065883,0.07895054382816968,0.38988943177995683,0.0961723482698815,0.015282411865097264,5.044323458914317,7.964869899625034,3.1249999829434527,260207763
5.0,1.0,16000,-1.0,11.0,244.69186260540016,2.7181972900921934,2.718281828459045,102875.52946847884,5.499999715320283,11.0,3.372376040267361e-06,3.372376040267361e-06,1.670170079024566e-05,True,3.526445685512719e-05,True,0.047284305206905373,4.224750978035829,0.29519312669051423,53.61276946599076,0.01119221119841927,0.0002733526442106044,5.398011566348446,10.82600829485632,6.499999715320283,260207764
5.0,1.5,16000,-4.0,14.0,457.14316094261164,9.474992727480219,9.487735836358526,1771102.8750209708,6.124996604294247,14.0,5.925230237810136e-07,5.925230237810136e-07,1.2883097769418158e-06,True,6.058651036774762e-07,True,0.14814298937772158,6.8705399985109805,0.9202752864801937,6397.430519800811,0.021562059082667142,5.087671894210314e-06,6.048245119662613,13.467573517393598,10.124996604294246,260207765
